"txt","filename"
"April 4, 2018  An Update on Our Plans to Restrict Data Access on Facebook By Mike Schroepfer, Chief Technology Officer  Two weeks ago we promised to take a hard look at the information apps can use when you connect them to Facebook as well as other data practices. Today, we want to update you on the changes we’re making to better protect your Facebook information. We expect to make more changes over the coming months — and will keep you updated on our progress. Here are the details of the nine most important changes we are making.  Events API: Until today, people could grant an app permission to get information about events they host or attend, including private events. This made it easy to add Facebook Events to calendar, ticketing or other apps. But Facebook Events have information about other people’s attendance as well as posts on the event wall, so it’s important that we ensure apps use their access appropriately. Starting today, apps using the API will no longer be able to access the guest list or posts on the event wall. And in the future, only apps we approve that agree to strict requirements will be allowed to use the Events API.  Groups API: Currently apps need the permission of a group admin or member to access group content for closed groups, and the permission of an admin for secret groups. These apps help admins do things like easily post and respond to content in their groups. However, there is information about people and conversations in groups that we want to make sure is better protected. Going forward, all third-party apps using the Groups API will need approval from Facebook and an admin to ensure they benefit the group. Apps will no longer be able to access the member list of a group. And we’re also removing personal information, such as names and profile photos, attached to posts or comments that approved apps can access.  Pages API: Until today, any app could use the Pages API to read posts or comments from any Page. This let developers create tools for Page owners to help them do things like schedule posts and reply to comments or messages. But it also let apps access more data than necessary. We want to make sure Page information is only available to apps providing useful services to our community. So starting today, all future access to the Pages API will need to be approved by Facebook.  Facebook Login: Two weeks ago we announced important changes to Facebook Login. Starting today, Facebook will need to approve all apps that request access to information such as check-ins, likes, photos, posts, videos, events and groups. We started approving these permissions in 2014, but now we’re tightening our review process — requiring these apps to agree to strict requirements before they can access this data. We will also no longer allow apps to ask for access to personal information such as religious or political views, relationship status and details, custom friends lists, education and work history, fitness activity, book reading activity, music listening activity, news reading, video watch activity, and games activity. In the next week, we will remove a developer’s ability to request data people shared with them if it appears they have not used the app in the last 3 months.  Instagram Platform API: We’re making the recently announced deprecation of the Instagram Platform API effective today. You can find more information here.  Search and Account Recovery: Until today, people could enter another person’s phone number or email address into Facebook search to help find them. This has been especially useful for finding your friends in languages which take more effort to type out a full name, or where many people have the same name. In Bangladesh, for example, this feature makes up 7% of all searches. However, malicious actors have also abused these features to scrape public profile information by submitting phone numbers or email addresses they already have through search and account recovery. Given the scale and sophistication of the activity we’ve seen, we believe most people on Facebook could have had their public profile scraped in this way. So we have now disabled this feature. We’re also making changes to account recovery to reduce the risk of scraping as well.  Call and Text History: Call and text history is part of an opt-in feature for people using Messenger or Facebook Lite on Android. This means we can surface the people you most frequently connect with at the top of your contact list. We’ve reviewed this feature to confirm that Facebook does not collect the content of messages — and will delete all logs older than one year. In the future, the client will only upload to our servers the information needed to offer this feature — not broader data such as the time of calls.  Data Providers and Partner Categories: Last week we announced our plans to shut down Partner Categories, a product that lets third-party data providers offer their targeting directly on Facebook.  App Controls: Finally, starting on Monday, April 9, we’ll show people a link at the top of their News Feed so they can see what apps they use — and the information they have shared with those apps. People will also be able to remove apps that they no longer want. As part of this process we will also tell people if their information may have been improperly shared with Cambridge Analytica.   Updated April 9, 2017: Three versions of the messages we’re sending to people based on whether they’ve been affected by the app “This Is Your Digital Life.” These messages link to facebook.com/help/yourinfo.  In total, we believe the Facebook information of up to 87 million people — mostly in the US — may have been improperly shared with Cambridge Analytica.    Overall, we believe these changes will better protect people’s information while still enabling developers to create useful experiences. We know we have more work to do — and we’ll keep you updated as we make more changes. You can find more details on the platform changes in our Facebook Developer Blog.","data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt"
"April 3, 2018  Authenticity Matters: The IRA Has No Place on Facebook By Alex Stamos, Chief Security Officer  This morning we removed 70 Facebook and 65 Instagram accounts — as well as 138 Facebook Pages — that were controlled by the Russia-based Internet Research Agency (IRA). Many of the Pages also ran ads, all of which have been removed. Of the Pages that had content, the vast majority of them (95%) were in Russian — targeted either at people living in Russia or Russian-speakers around the world including from neighboring countries like Azerbaijan, Uzbekistan and Ukraine.    Uncovering this activity took months of work by our team and I wanted to explain why we took this action.  Facebook was built for conversation and human connection. It’s why we ask that people using our service be themselves — whether it’s an individual, a business or a nonprofit. Of course this isn’t always possible. Many human rights activists, for example, have to hide their true identities to stay safe. But we’ve worked hard to establish authenticity as a social norm because it’s at the heart of most meaningful connections on Facebook.  The IRA has repeatedly used complex networks of inauthentic accounts to deceive and manipulate people who use Facebook, including before, during and after the 2016 US presidential elections. It’s why we don’t want them on Facebook. We removed this latest set of Pages and accounts solely because they were controlled by the IRA — not based on the content. This included commentary on domestic and international political issues, the promotion of Russian culture and tourism as well as debate on more everyday issues. Given the interest in the IRA, we’re releasing a sample of the Page posts and ads:    We’d like to share more — and we’re looking into the best way to provide more transparency into what the IRA has done. In the next few weeks, we’ll be updating our Help Center tool so anyone can check if they liked or followed one of these Pages.  The IRA has consistently used inauthentic accounts to deceive and manipulate people. It’s why we remove every account we find that is linked to the organization — whether linked to activity in the US, Russia or elsewhere. We know that the IRA — and other bad actors seeking to abuse Facebook — are always changing their tactics to hide from our security team. We expect we will find more, and if we do we will take them down too. But we’ll keep fighting and we’re investing heavily in more people and better technology to constantly improve safety on Facebook.","data/Facebook newsroom/Authenticity Matters.txt"
"March 6, 2018  Catalyst Housing Fund Attracts New Investor By Elliot Schrage, VP Corporate Communications & Public Policy  Silicon Valley has a remarkable energy that makes it a great place to live and work. Though the region is thriving in many ways, our community clearly needs more affordable places to live. That’s why we’re working alongside our neighbors to increase affordable housing in the Bay Area.  In 2016, we announced a partnership with Envision Transform Build and the cities of East Palo Alto and Menlo Park to create regional solutions to the affordable housing crisis. A pillar of the partnership was to create the Catalyst Housing Fund with an initial investment of $18.5 million to pursue innovative and scalable ways to increase the construction and protection of affordable housing. In August 2017, we announced Local Initiatives Support Corporation and Housing Trust Silicon Valley would manage the fund and leverage our initial investment to as much as $75 million.  New partners will help solve the housing crisis through this unique partnership. Today, we are pleased to announce The San Francisco Foundation (TSFF) is contributing $1 million to the Catalyst Housing Fund.  With more than $1.4 billion in assets, The San Francisco Foundation (TSFF) is one of the largest community foundations in the country. For 70 years, the foundation has been dedicated to serving the Bay Area in its many roles — civic leader, advocate, grantmaker, philanthropic partner, and convener. The foundation has a long history in affordable housing; and through its grantmaking pathways — People, Place, and Power — the foundation is working to ensure that everyone has a chance at full employment, a safe and affordable home, and a strong political voice.  Its grantmaking strategy focuses on racial and economic equity by organizing its work in three pathways: People, Place, Power. These pathways align with the pillars of our community partnership.  We aim to deploy funds in the next five to eight years to accelerate the development of affordable housing in the region. But we’re not waiting until construction starts to make a difference. Since the announcement of the community partnership, the partners have provided $500,000 to Community Legal Services in East Palo Alto (CLSEPA) to support Belle Haven and East Palo Alto residents threatened with displacement from evictions or abuse by landlords. The partners have also contributed $250,000 to Rebuilding Together Peninsula to rehabilitate and reconstruct homes in East Palo Alto and Belle Haven.  Through the partnership, we will also address what we can do to increase economic opportunity for our neighbors. For example, last October, we partnered with career and vocational training nonprofit JobTrain to support its apprenticeship program and pair future graduates with jobs on our active construction projects.  Our mission to give people the power to build community has to begin at home in Menlo Park and the surrounding cities. TSFF’s generous investment and the support of new partners will help us continue to support building economic opportunity in Silicon Valley and create regional solutions for affordable housing.","data/Facebook newsroom/Catalyst Housing Fund Attracts New Investor.txt"
"March 21, 2018  Cracking Down on Platform Abuse Protecting people’s information is the most important thing we do at Facebook. What happened with Cambridge Analytica was a breach of Facebook’s trust. More importantly, it was a breach of the trust people place in Facebook to protect their data when they share it. As Mark Zuckerberg explained in his post, we are announcing some important steps for the future of our platform. These steps involve taking action on potential past abuse and putting stronger protections in place to prevent future abuse.  People use Facebook to connect with friends and others using all kinds of apps. Facebook’s platform helped make apps social — so your calendar could show your friends’ birthdays, for instance. To do this, we allowed people to log into apps and share who their friends were and some information about them.  As people used the Facebook platform in new ways, we strengthened the rules. We required that developers get people’s permission before they access the data needed to run their apps – for instance, a photo sharing app has to get specific permission from you to access your photos. Over the years we’ve introduced more guardrails, including in 2014, when we began reviewing apps that request certain data before they could launch, and introducing more granular controls for people to decide what information to share with apps. These actions would prevent any app like Aleksandr Kogan’s from being able to access so much data today.  Even with these changes, we’ve seen abuse of our platform and the misuse of people’s data, and we know we need to do more. We have a responsibility to everyone who uses Facebook to make sure their privacy is protected. That’s why we’re making changes to prevent abuse. We’re going to set a higher standard for how developers build on Facebook, what people should expect from them, and, most importantly, from us. We will:  Review our platform. We will investigate all apps that had access to large amounts of information before we changed our platform in 2014 to reduce data access, and we will conduct a full audit of any app with suspicious activity. If we find developers that misused personally identifiable information, we will ban them from our platform. Tell people about data misuse. We will tell people affected by apps that have misused their data. This includes building a way for people to know if their data might have been accessed via “thisisyourdigitallife.” Moving forward, if we remove an app for misusing data, we will tell everyone who used it. Turn off access for unused apps. If someone hasn’t used an app within the last three months, we will turn off the app’s access to their information. Restrict Facebook Login data. We are changing Login, so that in the next version, we will reduce the data that an app can request without app review to include only name, profile photo and email address. Requesting any other data will require our approval. Encourage people to manage the apps they use. We already show people what apps their accounts are connected to and control what data they’ve permitted those apps to use. Going forward, we’re going to make these choices more prominent and easier to manage. Reward people who find vulnerabilities. In the coming weeks we will expand Facebook’s bug bounty program so that people can also report to us if they find misuses of data by app developers. There’s more work to do, and we’ll be sharing details in the coming weeks about additional steps we’re taking to put people more in control of their data. Some of these updates were already in the works, and some are related to new data protection laws coming into effect in the EU. This week’s events have accelerated our efforts, and these changes will be the first of many we plan to roll out to protect people’s information and make our platform safer.","data/Facebook newsroom/Cracking Down on Platform Abuse.txt"
"April 10, 2018  Data Abuse Bounty: Facebook Now Rewards for Reports of Data Abuse By Collin Greene, Head of Product Security  Today, Facebook is launching the Data Abuse Bounty to reward people who report any misuse of data by app developers.  We committed to launching this program a few weeks ago as part of our efforts to more quickly uncover potential abuse of people’s information. The Data Abuse Bounty, inspired by the existing bug bounty program that we use to uncover and address security issues, will help us identify violations of our policies.    This program will reward people with first-hand knowledge and proof of cases where a Facebook platform app collects and transfers people’s data to another party to be sold, stolen or used for scams or political influence. Just like the bug bounty program, we will reward based on the impact of each report. While there is no maximum, high impact bug reports have garnered as much as $40,000 for people who bring them to our attention.  We’ll review all legitimate reports and respond as quickly as possible when we identify a credible threat to people’s information. If we confirm data abuse, we will shut down the offending app and take legal action against the company selling or buying the data, if necessary. We’ll pay the person who reported the issue, and we’ll also alert those we believe to be affected.  This program is the first of its kind so it will change as we learn and get your feedback. For more information, please visit: facebook.com/data-abuse","data/Facebook newsroom/Data Abuse Bounty.txt"
"April 3, 2018  Facebook Community Boost Partners with Houston Organizations  By Katherine Shappley, VP North America SMB  Today, we’re in Houston, the second stop of Facebook Community Boost, offering trainings to help local small businesses grow and equip entrepreneurs with digital skills.  For Community Boost to truly serve its purpose, it’s important that opportunities for education are available long after this week’s event. That’s why we’re partnering with local organizations including, Houston Area Urban League, BakerRipley, Flatiron School and WeWork to provide continued training for small businesses and job seekers here in the greater Houston area.  We’re inspired by the strength and resilience of the people of Houston especially in the wake of adversities faced this past year. And we are proud to work with these organizations to help give local businesses the tools they need to grow their business, create jobs and strengthen the local economy.  Digital Skills and Marketing Training for Houston  Every community is different, which is why we surveyed hundreds of local residents to understand the unique needs of individuals and businesses in the Houston community and tailor the program accordingly.  Small businesses and job seekers in the Houston community told us that there is a gap between the digital skills they have compared to what they need to succeed:  90% of small business managers believe that digital advertising is an important skill for growing their business, but only 20% of managers rate themselves as excellent in this area. 95% of jobs/skills seekers say digital skills are important when looking for job, but only 15% rate their digital skills as excellent. As part of our partnership, Houston Area Urban League and community organizations like BakerRipley will equip their teams to run workshops and deliver digital marketing and social media curriculum across the greater Houston area to help close these gaps long after the Community Boost event ends.  Coding Bootcamps and Workforce Development  We are sponsoring a Facebook Bootcamp with Flatiron School that will fund scholarships for a full class of its 15-week coding bootcamp at its new Houston campus at WeWork. As a part of the program, students will utilize Flatiron School’s Career Services Framework which provides dedicated career coaches who mentor students through the job search process to ensure they successfully land jobs upon graduation. The Houston Area Urban League will also work directly with Flatiron School to source diverse applicants, provide additional career training and job placement services to bootcamp graduates.  These are just a few of the ways we’re working with the Houston community to help small businesses and job seekers gain the skills they need to succeed. We’re excited to continue to listen and learn from local businesses this week.  Our teams are committed to helping small businesses and their communities across the United States and beyond. Please share your thoughts and stay up to date with the latest city announcements, news and program schedules at facebook.com/communityboost. For visuals from Facebook Community Boost Houston, see here for photos and here for videos.","data/Facebook newsroom/Facebook Community Boost Partners with Houston Organizations.txt"
"March 26, 2018  Facebook Community Boost Partners with St. Louis Organizations and Announces Next 8 Cities  By Dan Levy, VP Global SMB  In November we announced Facebook Community Boost, a program to help small businesses grow and equip people in their communities with digital skills. Our CEO Mark Zuckerberg first shared the announcement at a meeting with small business owners in St. Louis.   Today, less than 5 months later, we’re back in St. Louis to deliver on his promise of increasing our efforts to support small businesses. But in order to make a lasting impact, we know we can’t do this alone. Which is why we’re partnering with local organizations in every city we visit.  Scaling Digital Skills and Marketing Training for St. Louis   We’re working to understand the needs of individuals and communities, so that we can personalize our programs. In a recent survey, small businesses and job seekers in the St. Louis community told us that there is a gap between the digital skills they have compared to what they need to succeed:  84% of small business managers believe that digital advertising is an important skill for growing their business, but only 13% of managers rate themselves as excellent in this area. 93% of individuals looking for work in St. Louis say digital skills are important when looking for job, but only 12% rate themselves as excellent in this department. To help address these gaps, we’re partnering with the Savvy Coders and Urban League of Metropolitan St. Louis to deliver digital marketing and social media curriculum across the greater St. Louis area.  Scholarships and Workforce Development Through Coding Bootcamps  Additionally, our new Facebook Bootcamp pilot with Claim Academy will fund scholarships for their coding bootcamps, which have a greater than 90% job placement rate for graduates. As part of the program, local companies like Monsanto and Clearent will interview program graduates for entry-level developer positions in their organizations.  We’re also sponsoring the St. Louis launch of LaunchCode’s Discovery Program, a free curriculum for those without a technical background. The St. Louis Public Library will also integrate this free training into their learning programs.  These are just a few of the ways we’re working with the St. Louis community to help small businesses and job seekers gain the skills they need to succeed. We’re excited to continue to listen and learn from local businesses this week.  Upcoming Facebook Community Boost Events  Today, we’re also announcing the next eight US cities where Facebook Community Boost will be held. We’ll announce dates for these cities in the coming weeks.  Buffalo, New York Columbus, Ohio Hampton, Virginia Phoenix, Arizona Minneapolis, Minnesota Helena, Montana Denver, Colorado East Palo Alto/Menlo Park, California Our teams are committed to helping small businesses and their communities across the United States and beyond. Please share your thoughts and stay up to date with the latest city announcements, news and program schedules at facebook.com/communityboost.","data/Facebook newsroom/Facebook Community Boost Partners with St. Louis Organizations and Announces Next 8 Cities.txt"
"April 9, 2018  Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections By Elliot Schrage, Vice President of Communications and Public Policy, and David Ginsberg, Director of Research  Today, Facebook is announcing a new initiative to help provide independent, credible research about the role of social media in elections, as well as democracy more generally. It will be funded by the Laura and John Arnold Foundation, Democracy Fund, the William and Flora Hewlett Foundation, the John S. and James L. Knight Foundation, the Charles Koch Foundation, the Omidyar Network, and the Alfred P. Sloan Foundation.  At the heart of this initiative will be a group of scholars who will:  Define the research agenda; Solicit proposals for independent research on a range of different topics; and Manage a peer review process to select scholars who will receive funding for their research, as well as access to privacy-protected datasets from Facebook which they can analyze. Facebook will not have any right to review or approve their research findings prior to publication.  We’re excited about this initiative for two important reasons.  First, we think it’s an important new model for partnerships between industry and academia. Second, the last two years have taught us that the same Facebook tools that help politicians connect with their constituents — and different communities debate the issues they care about — can also be misused to manipulate and deceive.  We have made real progress since Brexit and the 2016 US presidential election in fighting fake news, as well as combating foreign interference, in elections in France, Germany, Alabama and Italy. But there is much more to do — and we don’t have all the answers. This initiative will enable Facebook to learn from the advice and analysis of outside experts so we can make better decisions — and faster progress.  In consultation with the foundations funding the initiative, Facebook will invite respected academic experts to form a commission which will then develop a research agenda about the impact of social media on society — starting with elections. The focus will be entirely forward looking. And our goals are to understand Facebook’s impact on upcoming elections — like Brazil, India, Mexico and the US midterms — and to inform our future product and policy decisions. The initial term of the commission will be one year and membership will be determined in the coming weeks. We are keen to have a broad range of experts — with different political outlooks, expertise and life experiences, gender, ethnicity and from a broad range of countries.  The commission will exercise its mandate in several ways:  Prioritization of research agenda. The research sponsored by this effort is designed to help people better understand social media’s impact on democracy — and Facebook to ensure that it has the right systems in place. For example, will our current product roadmap effectively fight the spread of misinformation and foreign interference? Specific topics may include misinformation; polarizing content; promoting freedom of expression and association; protecting domestic elections from foreign interference; and civic engagement. Commission members will learn about Facebook’s internal efforts related to elections, and source input from the academic community to determine the most important unanswered research questions. They will also begin to work with international experts to develop research evaluating Facebook’s impact in upcoming elections — with the goal of identifying and mitigating possible negative effects.  Solicitation of independent research. As the commission identifies areas to assess Facebook’s effectiveness, it will work with Facebook to develop requests for research proposals. In accordance with standard academic protocols, proposals will be subject to rigorous peer view. The peer review process will be managed by the Social Science Research Council, which is well placed to tap into the global network of substantive, ethical, and privacy experts. Based on input from the peer review process, the commission will independently select grantees who will receive funds from the supporting foundations, and, when appropriate, privacy-protected data from Facebook.  Providing access to information while protecting privacy. Once the commission identifies the most important questions, we are committed to helping grantees obtain the right data to answer them. Sometimes these datasets will come from Facebook, and sometimes they will come from other sources like surveys or focus groups.  Fundamental to this entire effort is ensuring that people’s information is secure and kept private. Facebook and our funding partners recognize the threat presented by the recent misuse of Facebook data, including by an academic associated with Cambridge Analytica. At the same time, we believe strongly that the public interest is best served when independent researchers have access to information. And we believe that we can achieve this goal while ensuring that privacy is preserved and information kept secure.  Any proposal submitted through this process must first have been reviewed by a university Institutional Review Board (IRB), or the international equivalent. And when Facebook data is requested, proposals will be subject to additional review by Facebook’s privacy and research review teams — as well as external privacy experts that the commission identifies. These reviews will help ensure that Facebook acts in accordance with its legal and ethical obligations to the people who use our service, as well as the academic and ethical integrity of the research process.  Facebook is building a dedicated team to work with the commission and academic researchers to develop the approved, privacy-protected datasets, which will be kept exclusively on Facebook’s global network of secure servers and subject to continuous audit. The commission will oversee publication, ensuring that only aggregated, anonymized results are reported. It will also develop a process to apply for data access for purposes of replication.  Independent and transparent reporting. Facebook and the foundations funding this project are committed to transparency around the rationale for the structure and membership of the commission. Once established, the commission will have the authority to regularly report on its activities and Facebook’s. This will include the decision-making criteria guiding both the research agenda and scholar selection. And the research coming from this initiative will be public, and Facebook will not approve it before it’s published.  Facebook plays an important role in elections around the world — helping people connect and discuss the important issues of the day. We were slow to spot foreign interference in the 2016 US presidential elections, as well as issues with fake accounts and fake news. Our teams have made good progress since then. By working with the academic community, we can help people better understand the broader impact of social media on democracy — as well as improve our work to protect the integrity of elections.  Gary King of Harvard University and Nate Persily of Stanford Law School have been instrumental in developing this innovative model for academic collaboration. You can read more about their model here.","data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt"
"March 25, 2018  Fact Check: Your Call and SMS History You may have seen some recent reports that Facebook has been logging people’s call and SMS (text) history without their permission.  This is not the case.  Opt-in Features in Facebook Lite and Messenger Call and text history logging is part of an opt-in feature for people using Messenger or Facebook Lite on Android. This helps you find and stay connected with the people you care about, and provides you with a better experience across Facebook. People have to expressly agree to use this feature. If, at any time, they no longer wish to use this feature they can turn it off in settings, or here for Facebook Lite users, and all previously shared call and text history shared via that app is deleted. While we receive certain permissions from Android, uploading this information has always been opt-in only.  We introduced this feature for Android users a couple of years ago. Contact importers are fairly common among social apps and services as a way to more easily find the people you want to connect with. This was first introduced in Messenger in 2015, and later offered as an option in Facebook Lite, a lightweight version of Facebook for Android.  How It Works When you sign up for Messenger or Facebook Lite on Android, or log into Messenger on an Android device, you are given the option to continuously upload your contacts as well as your call and text history. For Messenger, you can either turn it on, choose ‘learn more’ or ‘not now’. On Facebook Lite, the options are to turn it on or ‘skip’. If you chose to turn this feature on, we will begin to continuously log this information, which can be downloaded at any time using the Download Your Information tool.    If, at any point, you no longer wish to continuously upload this information, you can easily turn this feature off in your settings. You can also turn off continuous call and text history logging while keeping contact uploading enabled. You can also go to this page to see which contacts you have uploaded from Messenger, and you can delete all contact information you’ve uploaded from that app should you choose.  We never sell this data, and this feature does not collect the content of your text messages or calls When this feature is enabled, uploading your contacts also allows us to use information like when a call or text was made or received. This feature does not collect the content of your calls or text messages. Your information is securely stored and we do not sell this information to third parties. You are always in control of the information you share with Facebook.","data/Facebook newsroom/Fact Check Your Call and SMS History.txt"
"March 5, 2018  Global Safety Summit By Antigone Davis, Global Head of Safety  Every year Facebook convenes a group of leaders in safety and technology for our Global Safety Summit. This year we returned in Washington, DC and were joined by over 100 organizations from 35 countries.  It has never been more important to hear from the people who are at the front lines of keeping communities safe. The organizations represented have a vision about how to make the world a better place in their neighborhoods, towns and cities, both online and off. Their work often inspires the engineers who are building products at Facebook, and their stories enable us to understand how Facebook and our family of apps and services can help.  The event included discussion from experts on a wide range of topics— from issues of safety and technology to how tech is impacting our well-being, and how to keep the most vulnerable people safe when they go online. We also shared examples of how people on Facebook are building community and asked for feedback on how we can best build products for families.  Over the years we’ve learned that people watch out for each other on Facebook. It’s a place to share and connect with the people who matter to you. We’ve often developed products based on how people are already coming to Facebook for help.  Below are some highlights of what was covered.  Welcome   Joel Kaplan — VP, Global Policy, Facebook Antigone Davis — Director, Global Head of Safety, Facebook  Safety and Technology: Opportunities and Challenges Around the World  Panel featuring ideas to help keep people safe around the world.   Cindy Southworth — National Network to End Domestic Violence Hema Budaraju — Facebook James Hairston — Oculus Alex Holmes — Diana Award Will Gardner — Childnet Moderator: Karen Attiah — Global Opinions Editor, Washington Post  Fireside Chat – Connect in Meaningful Ways Online Discussion about how the research team at Facebook works with our product teams to incorporate well-being principles, and review some of the top scientific research on well-being and social media.   David Ginsberg — Director of Research, Facebook Moderator: Donna Leinwand-Leger — Managing Editor, USA Today  Building Better Products for Families  Presentation on how Facebook is working with parents and experts as it thinks about products for youth and how that work informed and influenced how we built Messenger Kids.  Gathering Insights from Families   Antigone Davis — Director, Global Head of Safety, Facebook Dr. Sean Arthurs — National PTA  Messenger Kids: Building Better Products for Families   Tarunya Govindarajan — Product Manager, Messenger Kids  Teens and Technology: Changing the World  Panel featuring young leaders using technology to further their mission. This group will talk about a wide variety of topics, from how social media helps their work and how they manage the risks of technology, to resiliency, digital literacy, and youth rights.   Harnidh Kaur — Published Feminist Poet Camryn Garett — Writer Evelyn Atieno — Founder of @TheAffinityMag Amika George — Founder of #FreePeriods Tábata C. Amaral de Pontes — Founder of Mapa educação Moderator: Taylor Trudon — Brand Marketing Manager, Reader Engagement— New York Times  Next Gen Safety Tech Hear from a panel of online safety organizations and experts who are exploring cutting edge technology in the fight against child exploitation, trafficking, sextortion, the non-consensual sharing of intimate images and other abuses.   Fred Langford — Internet Watch Foundation Julie Cordua — Thorn Lindsey Olson — National Center for Missing and Exploited Children Danielle Citron — Cyber Civil Rights Initiative Rachael Tucker — Counselor to the Attorney General at the U.S. Department of Justice  Keeping People Safe on Facebook: A Fireside Chat Discussion about how Facebook approaches online safety, including the opportunities and challenges.   Guy Rosen — VP, Product Management, Facebook Antigone Davis — Director, Global Head of Safety, Facebook Moderator: Kim Hart — Axios  A Conversation: Young People, Technology and Well Being  This panel of child-development experts will share their perspectives on the most top-of-mind issue.   Dr. Megan Moreno — Director of Social Media Adolescent Health Research Team, University of Wisconsin Dr. Kevin Clark — Director for Center for Digital Media and Diversity, George Mason University Dr. Pam Hurst-Della Pietra — Founder and President, Children and Screens: Institute of Digital Media and Child Development Dr. Anja Dinhopl — Researcher, Facebook David Kleeman — SVP, Global Trends, Dubit Moderator: Dr. Michael Rich — Associate Professor of Pediatrics at Harvard Medical School, Associate Professor of Social and Behavioral Sciences at the Harvard School of Public Health","data/Facebook newsroom/Global Safety Summit.txt"
