filename,word
data/Facebook newsroom/Hard Questions.txt,#deletefacebook
data/Facebook newsroom/Global Safety Summit.txt,#freeperiods
data/Facebook newsroom/When Women Lead Everyone Progresses.txt,#shemeansbusiness
data/Facebook newsroom/You’re in Charge.txt,@mentions
data/Facebook newsroom/Global Safety Summit.txt,@theaffinitymag
data/Facebook newsroom/Introducing Video Chat in Messenger Lite.txt,10mb
"data/Facebook newsroom/With 360 Degree Photos and HD Quality Video, Messenger Gets Even More Visual.txt",720p
data/Facebook newsroom/Hard Questions.txt,90s
data/Facebook newsroom/Hard Questions.txt,abade
data/Facebook newsroom/Hard Questions.txt,abc
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,abide
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,ability
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,ability
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,ability
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,ability
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,ability
data/Facebook newsroom/Introducing Video Chat in Messenger Lite.txt,ability
data/Facebook newsroom/It’s Time to Make Our Privacy Tools Easier to Find.txt,ability
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,ability
"data/Facebook newsroom/With 360 Degree Photos and HD Quality Video, Messenger Gets Even More Visual.txt",ability
"data/Facebook newsroom/With 360 Degree Photos and HD Quality Video, Messenger Gets Even More Visual.txt",ability
"data/Facebook newsroom/With 360 Degree Photos and HD Quality Video, Messenger Gets Even More Visual.txt",ability
"data/Facebook newsroom/With 360 Degree Photos and HD Quality Video, Messenger Gets Even More Visual.txt",ability
data/Facebook newsroom/You’re in Charge.txt,ability
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,abroad
data/Facebook newsroom/Authenticity Matters.txt,abuse
data/Facebook newsroom/Catalyst Housing Fund Attracts New Investor.txt,abuse
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,abuse
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,abuse
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,abuse
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,abuse
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,abuse
data/Facebook newsroom/Data Abuse Bounty.txt,abuse
data/Facebook newsroom/Data Abuse Bounty.txt,abuse
data/Facebook newsroom/Data Abuse Bounty.txt,abuse
data/Facebook newsroom/Data Abuse Bounty.txt,abuse
data/Facebook newsroom/Data Abuse Bounty.txt,abuse
data/Facebook newsroom/Data Abuse Bounty.txt,abuse
data/Facebook newsroom/Data Abuse Bounty.txt,abuse
data/Facebook newsroom/Hard Questions Update on Cambridge Analytica.txt,abuse
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,abuse
data/Facebook newsroom/Hard Questions.txt,abuse
data/Facebook newsroom/It’s Time to Make Our Privacy Tools Easier to Find.txt,abuse
data/Facebook newsroom/Making Ads and Pages More Transparent.txt,abuse
"data/Facebook newsroom/We’re Making Our Terms and Data Policy Clearer, Without New Rights to Use Your Data on Facebook.txt",abuse
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,abused
data/Facebook newsroom/Global Safety Summit.txt,abuses
data/Facebook newsroom/When Women Lead Everyone Progresses.txt,abusive
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,academia
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,academic
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,academic
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,academic
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,academic
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,academic
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,academic
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,academic
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,academic
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,academics
data/Facebook newsroom/Facebook Community Boost Partners with St. Louis Organizations and Announces Next 8 Cities.txt,academy
data/Facebook newsroom/Catalyst Housing Fund Attracts New Investor.txt,accelerate
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,accelerated
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,access
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,access
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,access
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,access
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,access
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,access
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,access
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,access
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,access
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,access
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,access
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,access
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,access
data/Facebook newsroom/Hard Questions.txt,access
data/Facebook newsroom/Hard Questions.txt,access
data/Facebook newsroom/Hard Questions.txt,access
data/Facebook newsroom/Introducing Video Chat in Messenger Lite.txt,access
data/Facebook newsroom/It’s Time to Make Our Privacy Tools Easier to Find.txt,access
data/Facebook newsroom/It’s Time to Make Our Privacy Tools Easier to Find.txt,access
data/Facebook newsroom/Pursuing Forensic Audits to Investigate Cambridge Analytica Claims.txt,access
data/Facebook newsroom/Pursuing Forensic Audits to Investigate Cambridge Analytica Claims.txt,access
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,access
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,access
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,access
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,access
data/Facebook newsroom/Testing New Tools and Experiences for Creators.txt,access
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,accessed
data/Facebook newsroom/Hard Questions.txt,accessed
data/Facebook newsroom/Hard Questions.txt,accessed
data/Facebook newsroom/Hard Questions.txt,accessed
data/Facebook newsroom/Hard Questions.txt,accessed
data/Facebook newsroom/It’s Time to Make Our Privacy Tools Easier to Find.txt,accessible
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,accordance
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,accordance
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,account
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,account
data/Facebook newsroom/An Update on Our Plans to Restrict Data Access on Facebook.txt,account
data/Facebook newsroom/Authenticity Matters.txt,account
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,account
data/Facebook newsroom/Hard Questions.txt,account
data/Facebook newsroom/Hard Questions.txt,account
data/Facebook newsroom/It’s Time to Make Our Privacy Tools Easier to Find.txt,account
data/Facebook newsroom/It’s Time to Make Our Privacy Tools Easier to Find.txt,account
data/Facebook newsroom/It’s Time to Make Our Privacy Tools Easier to Find.txt,account
data/Facebook newsroom/It’s Time to Make Our Privacy Tools Easier to Find.txt,account
data/Facebook newsroom/Making Ads and Pages More Transparent.txt,account
data/Facebook newsroom/Making Ads and Pages More Transparent.txt,accountability
data/Facebook newsroom/Making Ads and Pages More Transparent.txt,accountability
data/Facebook newsroom/Making Ads and Pages More Transparent.txt,accountability
data/Facebook newsroom/Hard Questions.txt,accountable
data/Facebook newsroom/Hard Questions.txt,accountable
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,accountable
data/Facebook newsroom/Authenticity Matters.txt,accounts
data/Facebook newsroom/Authenticity Matters.txt,accounts
data/Facebook newsroom/Authenticity Matters.txt,accounts
data/Facebook newsroom/Authenticity Matters.txt,accounts
data/Facebook newsroom/Cracking Down on Platform Abuse.txt,accounts
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Hard Questions.txt,accounts
data/Facebook newsroom/Pursuing Forensic Audits to Investigate Cambridge Analytica Claims.txt,accuracy
data/Facebook newsroom/Pursuing Forensic Audits to Investigate Cambridge Analytica Claims.txt,accuracy
data/Facebook newsroom/Suspending Cambridge Analytica and SCL Group from Facebook.txt,accuracy
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accurate
data/Facebook newsroom/Hard Questions What is Facebook Doing to Protect Election Security.txt,accurate
data/Facebook newsroom/Hard Questions.txt,accurate
data/Facebook newsroom/Hard Questions.txt,accurate
data/Facebook newsroom/Hard Questions.txt,accurate
data/Facebook newsroom/Facebook Launches New Initiative to Help Scholars Assess Social Media’s Impact on Elections.txt,achieve
