"line","word"
1,"transcript"
1,"mark"
1,"zuckerberg"
1,"senate"
1,"hearing"
2,"transcript"
2,"courtesy"
2,"bloomberg"
2,"government"
2,"april"
2,"10"
3,"3"
3,"00"
4,"mark"
4,"zuckerberg"
4,"senate"
4,"hearing"
4,"3"
4,"minutes"
5,"embed"
6,"share"
7,"facebook"
7,"ceo"
7,"mark"
7,"zuckerberg"
7,"sat"
7,"lawmakers"
7,"april"
7,"10"
7,"apologized"
7,"explained"
7,"defended"
7,"tech"
7,"giant"
7,"amid"
7,"controversies"
7,"data"
7,"privacy"
7,"video"
7,"jenny"
7,"starrs"
7,"bastien"
7,"inzaurralde"
7,"photo"
7,"matt"
7,"mcclain"
7,"washington"
7,"post"
9,"facebook"
9,"chief"
9,"executive"
9,"mark"
9,"zuckerberg"
9,"appeared"
9,"senate's"
9,"commerce"
9,"judiciary"
9,"committees"
9,"tuesday"
9,"discuss"
9,"data"
9,"privacy"
9,"russian"
9,"disinformation"
9,"social"
9,"network"
9,"transcript"
9,"hearing"
11,"follow"
11,"wednesday's"
11,"updates"
13,"sen"
13,"charles"
13,"grassley"
13,"iowa"
13,"committees"
13,"judiciary"
13,"commerce"
13,"science"
13,"transportation"
13,"today's"
13,"hearing"
13,"facebook's"
13,"social"
13,"media"
13,"privacy"
13,"abuse"
13,"data"
15,"grassley"
15,"unprecedented"
15,"unique"
15,"hearing"
15,"issues"
15,"range"
15,"data"
15,"privacy"
15,"security"
15,"consumer"
15,"protection"
15,"federal"
15,"trade"
15,"commission"
15,"enforcement"
15,"touching"
15,"jurisdictions"
15,"committees"
17,"44"
17,"committees"
17,"facebook"
17,"standards"
19,"laughter"
21,"significant"
21,"hearing"
21,"united"
21,"senate"
21,"moving"
21,"efficiently"
21,"circumstances"
21,"begin"
21,"statements"
21,"chairmen"
21,"ranking"
21,"committee"
21,"starting"
21,"chairman"
21,"thune"
21,"proceed"
21,"zuckerberg's"
21,"statement"
24,"move"
24,"questioning"
24,"minutes"
24,"question"
24,"witnesses"
26,"remind"
26,"committees"
26,"time"
26,"limits"
26,"strictly"
26,"enforced"
26,"time"
26,"chairman"
26,"thune"
26,"round"
26,"usual"
26,"follow"
26,"written"
26,"questions"
26,"record"
26,"questioning"
26,"alternate"
26,"majority"
26,"minority"
26,"committees"
26,"proceed"
26,"based"
26,"respective"
26,"committee"
26,"seniority"
28,"anticipate"
28,"couple"
28,"short"
28,"breaks"
28,"afternoon"
30,"pleasure"
30,"recognize"
30,"chairman"
30,"commerce"
30,"committee"
30,"chairman"
30,"thune"
30,"statement"
32,"sen"
32,"john"
32,"thune"
32,"s.d"
32,"chairman"
32,"grassley"
34,"today's"
34,"hearing"
34,"extraordinary"
34,"extraordinary"
34,"hold"
34,"joint"
34,"committee"
34,"hearing"
34,"extraordinary"
34,"single"
34,"ceo"
34,"testify"
34,"half"
34,"united"
34,"senate"
37,"facebook"
37,"pretty"
37,"extraordinary"
37,"2"
37,"billion"
37,"people"
37,"facebook"
37,"month"
37,"1.4"
37,"billion"
37,"people"
37,"day"
37,"population"
37,"country"
37,"earth"
37,"china"
37,"times"
37,"population"
37,"united"
37,"1,500"
37,"times"
37,"population"
37,"home"
37,"south"
37,"dakota"
39,"roughly"
39,"45"
39,"percent"
39,"american"
39,"adults"
39,"report"
39,"news"
39,"facebook"
41,"respects"
41,"facebook's"
41,"incredible"
41,"reach"
41,"zuckerberg"
41,"breach"
41,"trust"
43,"quiz"
43,"app"
43,"approximately"
43,"300,000"
43,"people"
43,"led"
43,"information"
43,"87"
43,"million"
43,"facebook"
43,"users"
43,"obtained"
43,"company"
43,"cambridge"
43,"analytica"
45,"plenty"
45,"questions"
45,"behavior"
45,"cambridge"
45,"analytica"
45,"expect"
45,"hold"
45,"future"
45,"hearing"
45,"cambridge"
45,"similar"
45,"firms"
45,"isolated"
45,"incident"
45,"demonstrated"
45,"facebook's"
45,"suspension"
45,"firm"
45,"past"
45,"weekend"
48,"thune"
48,"promised"
48,"facebook"
48,"discovers"
48,"apps"
48,"access"
48,"amounts"
48,"user"
48,"data"
48,"ban"
48,"affected"
48,"2"
48,"billion"
48,"facebook"
48,"users"
50,"reason"
50,"people"
50,"worried"
50,"incident"
50,"facebook"
50,"idea"
50,"person"
50,"decided"
50,"app"
50,"information"
50,"300"
50,"people"
50,"scraped"
50,"service"
50,"mildly"
50,"disturbing"
52,"87"
52,"million"
52,"people"
52,"technically"
52,"consented"
52,"data"
52,"people"
52,"feel"
54,"recent"
54,"revelation"
54,"malicious"
54,"actors"
54,"utilize"
54,"facebook's"
54,"default"
54,"privacy"
54,"settings"
54,"match"
54,"email"
54,"addresses"
54,"phone"
54,"found"
54,"called"
54,"dark"
54,"web"
54,"public"
54,"facebook"
54,"profiles"
54,"potentially"
54,"affecting"
54,"facebook"
54,"users"
54,"adds"
54,"fuel"
54,"fire"
56,"binds"
56,"incidents"
56,"caused"
56,"negligence"
56,"typical"
56,"data"
56,"breaches"
56,"happen"
56,"result"
56,"people"
56,"exploiting"
56,"tools"
56,"created"
56,"manipulate"
56,"users"
56,"information"
59,"facebook"
59,"steps"
59,"intends"
59,"address"
59,"issues"
59,"warned"
59,"actions"
59,"facebook"
59,"taking"
59,"ensure"
59,"parties"
59,"obtain"
59,"data"
59,"unsuspecting"
59,"users"
59,"serve"
59,"enhance"
59,"facebook's"
59,"ability"
59,"market"
59,"data"
59,"exclusively"
61,"understand"
61,"facebook"
61,"google"
61,"online"
61,"services"
61,"trading"
61,"information"
61,"free"
61,"low"
61,"cost"
61,"services"
61,"model"
61,"persist"
61,"bargain"
61,"stakes"
61,"involved"
61,"convinced"
61,"facebook's"
61,"users"
61,"information"
61,"meaningful"
61,"choices"
63,"past"
63,"colleagues"
63,"aisle"
63,"defer"
63,"tech"
63,"companies"
63,"efforts"
63,"regulate"
63,"changing"
65,"month"
65,"overwhelming"
65,"bipartisan"
65,"fashion"
65,"congress"
65,"voted"
65,"easier"
65,"prosecutors"
65,"victims"
65,"websites"
65,"knowingly"
65,"facilitate"
65,"sex"
65,"trafficking"
65,"wake"
65,"call"
65,"tech"
65,"community"
67,"hear"
67,"delay"
67,"facebook"
67,"companies"
67,"plan"
67,"responsibility"
67,"platforms"
69,"protect"
69,"users"
69,"data"
69,"inform"
69,"users"
69,"intend"
69,"proactively"
69,"stop"
69,"harmful"
69,"conduct"
69,"forced"
69,"respond"
69,"months"
71,"zuckerberg"
71,"company"
71,"created"
71,"story"
71,"created"
71,"represents"
71,"american"
71,"dream"
71,"incredibly"
71,"inspired"
73,"time"
73,"obligation"
73,"ensure"
73,"dream"
73,"becalm"
73,"privacy"
73,"nightmare"
73,"scores"
73,"people"
73,"facebook"
75,"hearing"
75,"opportunity"
75,"speak"
75,"facebook"
75,"deeply"
75,"skeptical"
75,"listening"
75,"america"
75,"listening"
75,"possibly"
75,"world"
75,"listening"
77,"grassley"
79,"ranking"
79,"feinstein"
81,"dianne"
81,"feinstein"
81,"calif"
81,"chairman"
83,"chairman"
83,"grassley"
83,"chairman"
83,"thune"
83,"holding"
83,"hearing"
85,"zuckerberg"
85,"real"
85,"opportunity"
85,"afternoon"
85,"lead"
85,"industry"
85,"demonstrate"
85,"meaningful"
85,"commitment"
85,"protecting"
85,"individual"
85,"privacy"
87,"learned"
87,"past"
87,"months"
87,"learned"
87,"deal"
87,"alarming"
87,"foreign"
87,"actors"
87,"abusing"
87,"social"
87,"media"
87,"platforms"
87,"facebook"
87,"interfere"
87,"elections"
87,"millions"
87,"americans"
87,"personal"
87,"information"
87,"knowledge"
87,"manipulate"
87,"public"
87,"opinion"
87,"target"
87,"individual"
87,"voters"
89,"specifically"
89,"february"
89,"16th"
89,"special"
89,"counsel"
89,"mueller"
89,"issued"
89,"indictment"
89,"russia"
89,"based"
89,"internet"
89,"research"
89,"agency"
89,"13"
89,"employees"
89,"interfering"
89,"sic"
89,"operations"
89,"targeting"
89,"united"
91,"37"
91,"page"
91,"indictment"
91,"learned"
91,"ira"
91,"ran"
91,"coordinated"
91,"campaign"
91,"470"
91,"facebook"
91,"accounts"
91,"pages"
91,"campaign"
91,"included"
91,"ads"
91,"false"
91,"information"
91,"create"
